,0
0,1873309343
1,34621576
2,38553022
3,16880858
4,1100615356
5,38411991
6,1992920098
7,36176385
8,36898347
9,34347933
10,31204698
11,37053406
12,317627449
13,36690197
14,505847520
15,1191014356
16,1664779171
17,37853863
18,17032617
19,1957502323
20,1803296766
21,147696491
22,1086466980
23,1451006243
24,37559361
25,1574419480
26,37542377
27,1073816301
28,1440332612
29,1559169598
30,1087017189
31,1281784128
32,1864925800
33,1019541842
34,1529112749
35,1414924101
36,1528955401
37,35575211
38,751218452
39,1757129086
40,16878029
41,78505031
42,58605666
43,35541310
44,1254885016
45,1592490151
46,844746055
47,19858215
48,12886879
49,1762025236
50,1873309343
51,71699464
52,34658467
53,1682352329
54,1006563695
55,1847740414
56,71441654
57,38484059
58,1382122382
59,1209627223
60,1061179999
61,1537884971
62,1031141837
63,608204227
64,1119135039
65,1992512543
66,1711856220
67,37357476
68,1333474122
69,1567789366
70,36878517
71,1156067020
72,1051975406
73,1240125273
74,1504281595
75,1065712130
76,37853281
77,37568371
78,455230362
79,1069020172
80,36399029
81,1490239076
82,1202372834
83,21728337
84,713186192
85,1459168390
86,1269389743
87,1559637638
88,35584739
89,1641707056
90,36864711
91,1887202514
92,221208242
93,16888383
94,37089414
95,1206365058
96,1809068714
97,917609310
98,1274158340
99,1507827856
100,1071657597
101,1577830185
102,1735589228
103,71699464
104,20770997
105,1093359057
106,87560667
107,971629520
108,1800202547
109,1684497698
110,1472537958
111,36097763
112,1186764486
113,36061381
114,1545054941
115,1005713156
116,795636245
117,1973996682
118,1495397867
119,1292572905
120,1844891777
121,732937238
122,1219176249
123,1073816301
124,1689531018
125,1451006243
126,1894359248
127,1256356707
128,1167251982
129,1182796220
130,1995071531
131,1645664731
132,1256411778
133,1262461507
134,1769881063
135,1898320099
136,1117849994
137,1567295565
138,1000356251
139,1535376997
140,37289864
141,1715603019
142,1576534281
143,1268256988
144,1301403671
145,1544841316
146,1401505058
147,1550164837
148,1751172710
149,1081202817
150,1071657597
151,1495397867
152,1634568720
153,37792718
154,1674851816
155,376205062
156,1222002415
157,1343058211
158,1037037519
159,31887112
160,1350372514
161,1257655031
162,1606784832
163,768832682
164,1305307813
165,16879457
166,36547238
167,1348826927
168,935195553
169,889583882
170,1065997271
171,71084027
172,1800202547
173,38014906
174,1524527022
175,1011976913
176,37572851
177,1493963410
178,1022867328
179,1406703311
180,1030569747
181,37842164
182,1073971642
183,1774462056
184,34621576
185,1556547724
186,16879020
187,37992136
188,1901662508
189,1999666125
190,1391608558
191,1216728800
192,1026185374
193,1926489260
194,34308685
195,1592317245
196,33875550
197,37468949
198,1051975406
199,1494634312
200,1391608558
201,1495397867
202,1634568720
203,1632836635
204,32811877
205,1954521266
206,1446596835
207,16881165
208,1759571820
209,35751612
210,1169791365
211,1603101060
212,1488302156
213,1591747425
214,777618701
215,38265243
216,1067330019
217,1213505228
218,1437679790
219,1380515970
220,1561052630
221,1780231320
222,1800202547
223,1065997271
224,36470092
225,13444873
226,1099917791
227,1083045545
228,1832869242
229,1509699554
230,1166678749
231,1642470401
232,1041041434
233,1929082866
234,1335037268
235,36882244
236,34139304
237,36768744
238,1207566423
239,38313897
240,1599348510
241,17032629
242,36830542
243,1102496484
244,1837212560
245,1527394352
246,1392165193
247,1069645517
248,36721578
249,1059622532
250,1333474122
251,71699464
252,1152125592
253,35579098
254,1782632376
255,1821574691
256,1976150067
257,17033113
258,1650979202
259,34291637
260,37793275
261,1866093137
262,1153023868
263,967075505
264,1621495522
265,1362825496
266,1960106895
267,1260292510
268,1017971891
269,1319504459
270,672655568
271,1391473848
272,1592490151
273,1086466980
274,1821980448
275,1366472106
276,37223393
277,19490234
278,1647806978
279,1813165229
280,1352886399
281,96912875
282,1950735558
283,1530203783
284,20771663
285,1650399547
286,1394709771
287,36849223
288,1500055542
289,37228633
290,1856294244
291,37489336
292,16880444
293,1781747102
294,1497492532
295,1388192674
296,1918295584
297,1645320566
298,747374111
299,16877329
