,0
0,307299913
1,1398288292
2,1483222410
3,16963907
4,13444889
5,35044616
6,1974675003
7,1388846132
8,16964046
9,307299913
10,11839070
11,1553101154
12,539589455
13,1946221889
14,34332364
15,35924679
16,1808859945
17,37073153
18,11865779
19,1799314536
20,1846098630
21,16964162
22,1799314536
23,16961464
24,1167017600
25,32166269
26,37402234
27,37182840
28,35039451
29,1676194894
30,32166291
31,648156403
32,1250319244
33,37293163
34,1032538007
35,1166323794
36,37668793
37,69675024
38,12849490
39,1908177098
40,37073153
41,1166323794
42,16960699
43,1931684797
44,16961464
45,16964307
46,37072892
47,16964297
48,1704516238
49,1279761031
50,381625468
51,1168484682
52,11712294
53,1450273554
54,1831031865
55,1026781105
56,1620364270
57,16963841
58,1311350191
59,32840020
60,32166312
61,1130262585
62,1398288292
63,16963907
64,60108958
65,866050965
66,1194860978
67,34974936
68,13122443
69,36159100
70,1624164908
71,1555634578
72,1099433248
73,16964053
74,1287253740
75,11608401
76,1313047548
77,1829968296
78,37220592
79,1216103453
80,38525868
81,40995256
82,1156608875
83,1654415281
84,1425374038
85,30925801
86,1766388166
87,1029848471
88,1304254928
89,16963419
90,1166323794
91,1978376264
92,37695464
93,37402235
94,13481036
95,1652961658
96,1301397821
97,1633944012
98,1018522155
99,1977307454
100,1465707111
101,19862173
102,1170006246
103,447102097
104,1488538285
105,38498219
106,1156743213
107,1345173052
108,13444961
109,1036744086
110,1216250650
111,1214085097
112,35044616
113,16963907
114,1377955047
115,1641796659
116,1504822340
117,1891863288
118,1308024403
119,1854342133
120,1484320207
121,1191262940
122,16963331
123,1482208265
124,1566536639
125,1558426319
126,1512138288
127,1437644617
128,35103320
129,36727878
130,1013763726
131,16960169
132,19978621
133,1809538622
134,322901422
135,35376535
136,172927866
137,37521149
138,1615457210
139,1512262974
140,16963907
141,1798676105
142,1791661727
143,1067655193
144,391594782
145,1399394673
146,1554613721
147,16961218
148,32166330
149,1572324027
150,912079179
151,32840022
152,1197652543
153,16964682
154,1054810598
155,16960606
156,13279997
157,32167991
158,38681553
159,1345391794
160,16963423
161,34431369
162,1799314536
163,17088321
164,11737975
165,1069854984
166,21565863
167,19649702
168,1860699313
169,1033026443
170,11602221
171,1313802980
172,1257556646
173,1356647135
174,1554932850
175,17086022
176,35322106
177,1791375599
178,1571061561
179,38652508
180,1626087171
181,1883069991
182,1174668957
183,1020309277
184,37402233
185,359283399
186,31042400
187,16962389
188,1609400629
189,1271688219
190,31507955
191,38275094
192,16963562
193,1054373554
194,678915389
195,1343193847
196,38276455
197,1329933805
198,32407437
199,21050398
200,1949736463
201,37297250
202,32166270
203,1170140231
204,1197491547
205,1023207840
206,1128146543
207,1938776803
208,1499798259
209,16962395
210,1776362326
211,1637232910
212,32624957
213,1756881651
214,1941606235
215,1159429345
216,38710958
217,1051213165
218,1970950519
219,1790333798
220,1643826168
221,11710934
222,1962683768
223,31232516
224,1076588527
225,1915465808
226,37629579
227,1863624206
228,1728765067
229,20264180
230,1733381007
231,1369244275
232,13038634
233,1048031562
234,33786309
235,503456576
236,1857218750
237,36261096
238,11846901
239,16963502
240,21553566
241,38314943
242,1448646471
243,13043470
244,37171991
245,13431452
246,1206611612
247,38300141
248,16963408
249,38275597
250,38275426
251,17088462
252,16961346
253,1387607770
254,11596049
255,261928515
256,36470103
257,16963829
258,1138969717
259,95897461
260,1279219529
261,1769295437
262,36296793
263,1187563739
264,1785548219
265,11608234
266,20259756
267,1679381289
268,33408957
269,1913915399
270,1780311595
271,616724144
272,1563693669
273,19886231
274,38276166
275,16963117
276,16961313
277,33252865
278,1103360194
279,1444320411
280,11701867
281,1464942995
282,36452648
283,1408620723
284,1292439510
285,16960917
286,1126654529
287,1439979282
288,1109003362
289,16963506
