,0
0,1474815149
1,1572729488
2,19873447
3,1351670584
4,38257480
5,1051148650
6,1910786191
7,525595743
8,1285282963
9,17076083
10,35769744
11,31080869
12,1470713685
13,16952594
14,16950110
15,1693676339
16,1502064111
17,19862067
18,1211354901
19,37157723
20,1325949781
21,514292398
22,1465526302
23,17076083
24,1224076873
25,1936722645
26,12997438
27,1767660317
28,1405629546
29,1920330451
30,1018684874
31,1577192193
32,35416466
33,307022508
34,1109402653
35,16953100
36,1541873670
37,1243067669
38,1864241215
39,16948056
40,1493269337
41,38508553
42,21005574
43,37061112
44,1737996445
45,1397321112
46,1160410577
47,893836209
48,1118769711
49,37633907
50,1474815149
51,1160410577
52,1571052099
53,1432042622
54,1135468842
55,1555494756
56,600824767
57,1646587621
58,1923105365
59,1561901434
60,19873092
61,36606104
62,1647776993
63,31143951
64,1734803287
65,1268258523
66,606967119
67,11876693
68,34883049
69,16952124
70,1250516491
71,11609038
72,1381350807
73,1571052099
74,69594415
75,36912847
76,1626707792
77,35221577
78,1947771227
79,1465526302
80,1022918000
81,1838327534
82,1872187850
83,1525909689
84,37898247
85,1191150801
86,13444904
87,11885801
88,12069061
89,963854279
90,1177270998
91,1584167801
92,11875704
93,37026212
94,16949379
95,1416906148
96,1760404970
97,1056852464
98,1282162525
99,35085059
100,1247332831
101,1571052099
102,1892211436
103,19932894
104,1403668876
105,1169627676
106,13175318
107,1000776229
108,1599042380
109,1012108385
110,1208809656
111,1785287262
112,1515613605
113,1383219785
114,1213376675
115,1195073144
116,1248490959
117,16952245
118,1259461902
119,1172896199
120,12816849
121,38422758
122,1737996445
123,1414729212
124,20648529
125,37105541
126,35902717
127,1922910297
128,1864359844
129,20144335
130,1813320263
131,1031445894
132,34007183
133,1252441694
134,37642988
135,1416044912
136,37921772
137,13484740
138,36830182
139,1171741159
140,818364393
141,1678139411
142,37604438
143,1171997772
144,1012165032
145,1140365138
146,38339131
147,16948114
148,66266463
149,1246501072
150,1247332831
151,1571052099
152,1892211436
153,34896916
154,37653557
155,36432810
156,16950056
157,16948039
158,1189743089
159,781586466
160,35813091
161,1534082037
162,1217846074
163,16948142
164,20125047
165,1525892084
166,1071080637
167,1349786099
168,1831275437
169,1827620036
170,21906551
171,1177576954
172,36864745
173,1381350807
174,1350804976
175,1892606644
176,1995405207
177,1352709102
178,11717471
179,1369439488
180,1658215998
181,33726087
182,35376531
183,1386645416
184,1347833793
185,1539340790
186,16949508
187,20734458
188,1825636217
189,1547091701
190,1435846547
191,37890576
192,16952054
193,37153635
194,38465816
195,574614749
196,38500969
197,1454808667
198,1605369082
199,1142427487
200,1435846547
201,16949508
202,1176908561
203,37915559
204,1629302065
205,35601402
206,695871590
207,1177493712
208,1032717062
209,1122024164
210,1872380301
211,1410165998
212,1524046377
213,1352690138
214,982644488
215,30811834
216,379792756
217,1742891576
218,300542845
219,1367803458
220,1128371429
221,1569409378
222,36864745
223,1435846547
224,34932062
225,1512189920
226,12858305
227,16951820
228,1657230929
229,1164594276
230,1000488673
231,32505224
232,37991717
233,1184054122
234,1173716144
235,36634154
236,37797586
237,1348524796
238,38752761
239,1940127244
240,1211927523
241,16952077
242,299241713
243,1429301489
244,1560619842
245,1180683480
246,1874514725
247,1261966617
248,37834934
249,1084859790
250,1979855006
251,37898247
252,1176908561
253,37915559
254,1618644417
255,1560210755
256,1517318163
257,1295844191
258,38271661
259,1608711038
260,1215272468
261,1655852258
262,1467796948
263,1543169668
264,37917072
265,16953870
266,37688325
267,1874564476
268,37666771
269,37468205
270,13444923
271,16954085
272,36864745
273,1813320263
274,1977864575
275,16948149
276,1037684441
277,1861486593
278,1939662648
279,1022676049
280,16881298
281,1950026137
282,1612757709
283,1632246197
284,1414729212
285,37018261
286,1693004057
287,37557933
288,1108753622
289,617171138
290,1259730535
291,1707862188
292,1856889726
293,1844425688
294,1248240512
295,20123074
296,1142570754
297,1820125604
298,937596281
299,20182931
